nome,cnpj,inscricao_estadual,data_abertura,site,email,cep,endereco,numero,bairro,cidade,estado,telefone,celular,nome_fantasia
Caroline e Thomas Lavanderia ME,91553386000114,0768389700103,05/08/2019,www.carolineethomaslavanderiame.com.br,compras@carolineethomaslavanderiame.com.br,71699-660,Quadra Quadra QC 12,221,Jardins Mangueiral (São Sebastião),Brasília,DF,(61) 2837-7809,(61) 99828-8242,Caroline e Thomas
Caleb e Jéssica Marcenaria ME,26608261000182,21818097,21/02/2019,www.calebejessicamarcenariame.com.br,representantes@calebejessicamarcenariame.com.br,22620-070,Rua Deodato de Morais,617,Barra da Tijuca,Rio de Janeiro,RJ,(21) 3862-8857,(21) 98101-5092,Caleb e Jéssica Marcenaria
Louise e Allana Ferragens Ltda,83924687000189,0727372400139,01/10/2019,www.louiseeallanaferragensltda.com.br,financeiro@louiseeallanaferragensltda.com.br,72428-566,Núcleo Rural Casa Grande Módulo 15 MA - 13,899,Ponte Alta (Gama),Brasília,DF,(61) 2572-0143,(61) 99542-6207,Louise Ferragens
Cecília e Marlene Assessoria Jurídica Ltda,54649333000175,209963506,18/12/2019,www.ceciliaemarleneassessoriajuridicaltda.com.br,desenvolvimento@ceciliaemarleneassessoriajuridicaltda.com.br,74730-450,Rua X 13,874,Jardim Brasil,Goiânia,GO,(62) 3639-5560,(62) 99747-1224,Cecília e Marlene Assessoria
Sophia e Luiz Marcenaria Ltda,98250229000189,04112032,25/01/2019,www.sophiaeluizmarcenarialtda.com.br,sac@sophiaeluizmarcenarialtda.com.br,20211-000,Rua Aníbal Benevolo,311,Cidade Nova,Rio de Janeiro,RJ,(21) 3613-0651,(21) 99167-2078,Sophia e Luiz Marcenaria
Julia e Isis Marcenaria ME,44494605000151,103682740,23/08/2019,www.juliaeisismarcenariame.com.br,compras@juliaeisismarcenariame.com.br,74480-540,Rua JC 18 A,409,Jardim Curitiba,Goiânia,GO,(62) 3870-2018,(62) 99138-6830,Julia e Isis Marcenaria
Cauê e Fernanda Entulhos ME,51179376000146,0739609900170,22/09/2019,www.caueefernandaentulhosme.com.br,treinamento@caueefernandaentulhosme.com.br,70068-900,Esplanada dos Ministérios Bloco B,740,Zona Cívico-Administrativa,Brasília,DF,(61) 3819-5264,(61) 99667-4200,Cauê e Fernanda Entulhos
Brenda e Oliver Doces & Salgados Ltda,62628920000106,200479687,15/11/2019,www.brendaeoliverdocessalgadosltda.com.br,contato@brendaeoliverdocessalgadosltda.com.br,74958-410,Alameda Rui Rodrigues de Morais,727,Setor Colonial Sul,Aparecida de Goiânia,GO,(62) 3773-2925,(62) 98446-9039,Brenda e Oliver
Jéssica e Eduardo Financeira ME,36799206000170,0723457200131,04/11/2019,www.jessicaeeduardofinanceirame.com.br,estoque@jessicaeeduardofinanceirame.com.br,72318-216,Quadra QR 406 Conjunto 15,207,Samambaia Norte (Samambaia),Brasília,DF,(61) 3656-3190,(61) 98680-3920,Jéssica Financeira
Cecília e Clarice Transportes ME,68243487000177,150776977,26/06/2019,www.ceciliaeclaricetransportesme.com.br,orcamento@ceciliaeclaricetransportesme.com.br,74633-273,Rua 801,707,Elísio Campos,Goiânia,GO,(62) 3862-3670,(62) 98780-8455,Cecília Transportes
Isabella e Geraldo Informática ME,13062681000164,67760735,23/12/2019,www.isabellaegeraldoinformaticame.com.br,contato@isabellaegeraldoinformaticame.com.br,27971-793,Rua Zeny Pereira,968,Ajuda,Macaé,RJ,(22) 3763-4062,(22) 99165-6602,Isabella Informática
Aparecida e Caio Assessoria Jurídica ME,53618516000160,21645990,21/08/2019,www.aparecidaecaioassessoriajuridicame.com.br,estoque@aparecidaecaioassessoriajuridicame.com.br,21030-200,Rua Santa Cecília,811,Ramos,Rio de Janeiro,RJ,(21) 2906-6762,(21) 98491-6409,Aparecida e Caio Assessoria
Silvana e Rafaela Advocacia ME,45636016000123,49161344,12/11/2019,www.silvanaerafaelaadvocaciame.com.br,marketing@silvanaerafaelaadvocaciame.com.br,24866-108,Rua Alzimiro Jorge Martins,563,Grande Rio (Itambi),Itaboraí,RJ,(21) 2558-0570,(21) 98106-3677,Silvana e Rafaela Advocacia
Francisco e Vinicius Publicidade e Propaganda Ltda,03428095000137,111032237,14/08/2019,www.franciscoeviniciuspublicidadeepropagandaltda.com.br,orcamento@franciscoeviniciuspublicidadeepropagandaltda.com.br,75912-115,Rua 2,256,Serra Dourada,Rio Verde,GO,(64) 3777-4257,(64) 99769-6169,Francisco e Vinicius Publicidade
Rosa e Heloisa Marcenaria Ltda,28739541000155,155320203,18/01/2019,www.rosaeheloisamarcenarialtda.com.br,representantes@rosaeheloisamarcenarialtda.com.br,74805-145,Avenida Olinda,812,Jardim Goiás,Goiânia,GO,(62) 2817-5002,(62) 99360-6525,Rosa e Heloisa Marcenaria
Natália e Betina Padaria Ltda,64548505000178,41461918,18/11/2019,www.nataliaebetinapadarialtda.com.br,ti@nataliaebetinapadarialtda.com.br,23064-240,Rua da Andorinha,602,Inhoaíba,Rio de Janeiro,RJ,(21) 2582-2148,(21) 98709-0022,Natália Padaria
Lorenzo e Nicolas Advocacia Ltda,52483232000141,98066047,16/02/2019,www.lorenzoenicolasadvocacialtda.com.br,auditoria@lorenzoenicolasadvocacialtda.com.br,23097-608,Beco N,253,Campo Grande,Rio de Janeiro,RJ,(21) 2524-8884,(21) 98280-7619,Lorenzo e Nicolas Advocacia
Filipe e Liz Casa Noturna Ltda,54476490000126,79087254,24/10/2019,www.filipeelizcasanoturnaltda.com.br,compras@filipeelizcasanoturnaltda.com.br,25231-260,Avenida Miguel de Lemos,123,Chácaras Rio-Petrópolis,Duque de Caxias,RJ,(21) 2717-8589,(21) 98633-4615,Filipe e Liz Casa
Osvaldo e Kamilly Buffet ME,32491610000121,0754035400130,03/01/2019,www.osvaldoekamillybuffetme.com.br,financeiro@osvaldoekamillybuffetme.com.br,71735-402,Quadra SMPW Quadra 4 Conjunto 2,255,Setor de Mansões Park Way,Brasília,DF,(61) 2597-6060,(61) 98857-8749,Osvaldo e Kamilly
Caleb e Maria Assessoria Jurídica Ltda,73565215000123,200162977,07/12/2019,www.calebemariaassessoriajuridicaltda.com.br,manutencao@calebemariaassessoriajuridicaltda.com.br,72853-403,Quadra Quadra 403,438,Parque Estrela Dalva IX,Luziânia,GO,(61) 3945-8251,(61) 99351-7020,Caleb e Maria Assessoria Jurídica
Marcela e Gustavo Mudanças Ltda,34889562000150,200602063,10/07/2019,www.marcelaegustavomudancasltda.com.br,producao@marcelaegustavomudancasltda.com.br,74780-815,Rua Abel Rodrigues Chaveiro,743,Santo Hilário II,Goiânia,GO,(62) 2725-8731,(62) 98861-1617,Marcela e Gustavo Mudanças
Jorge e Eloá Entregas Expressas ME,37499629000138,0704482500139,26/09/2019,www.jorgeeeloaentregasexpressasme.com.br,contabilidade@jorgeeeloaentregasexpressasme.com.br,70686-425,Quadra SQNW 109 Bloco E,245,Setor Noroeste,Brasília,DF,(61) 3971-0936,(61) 98128-5318,Jorge e Eloá Entregas Expressas
Maria e Luís Padaria ME,14261361000104,81331677,26/02/2019,www.mariaeluispadariame.com.br,vendas@mariaeluispadariame.com.br,23027-520,Caminho Ponta Grossa,772,Pedra de Guaratiba,Rio de Janeiro,RJ,(21) 3700-4585,(21) 98126-4653,Maria Padaria
Aurora e Isadora Locações de Automóveis ME,95877737000101,33197179,15/02/2019,www.auroraeisadoralocacoesdeautomoveisme.com.br,diretoria@auroraeisadoralocacoesdeautomoveisme.com.br,24050-110,Rua Irapuru,442,Ilha da Conceição,Niterói,RJ,(21) 2714-6050,(21) 98119-8617,Aurora e Isadora
Marcos e Melissa Vidros Ltda,64406123000100,37246018,03/12/2019,www.marcosemelissavidrosltda.com.br,financeiro@marcosemelissavidrosltda.com.br,28021-350,Rua Poeta Hermes Fontes,704,Parque Santa Maria,Campos dos Goytacazes,RJ,(22) 3635-1989,(22) 99976-8067,Marcos e Melissa Vidros
João e Priscila Advocacia ME,23626255000160,0791149600168,14/06/2019,www.joaoepriscilaadvocaciame.com.br,administracao@joaoepriscilaadvocaciame.com.br,72504-520,Quadra QR 304 Conjunto T,373,Santa Maria,Brasília,DF,(61) 2707-7468,(61) 98709-4782,João e Priscila Advocacia
Osvaldo e Fátima Esportes Ltda,27502670000162,155376721,01/02/2019,www.osvaldoefatimaesportesltda.com.br,presidencia@osvaldoefatimaesportesltda.com.br,72900-170,Quadra Quadra 79,474,Centro,Santo Antônio do Descoberto,GO,(61) 3550-7160,(61) 99143-2361,Osvaldo e Fátima Esportes
Teresinha e Marcos Vinicius Pizzaria Ltda,60038258000109,81949093,19/11/2019,www.teresinhaemarcosviniciuspizzarialtda.com.br,financeiro@teresinhaemarcosviniciuspizzarialtda.com.br,24350-209,Rua Canajé Malta,137,Piratininga,Niterói,RJ,(21) 2779-9766,(21) 99132-1009,Teresinha e Marcos
Kaique e Laís Corretores Associados ME,16311200000103,93668448,07/04/2019,www.kaiqueelaiscorretoresassociadosme.com.br,ouvidoria@kaiqueelaiscorretoresassociadosme.com.br,27949-456,Rua Toulon,925,Nova Cidade,Macaé,RJ,(22) 2884-2594,(22) 99240-4029,Kaique e Laís
Cauã e Isabelly Casa Noturna ME,66098404000178,0733641400170,10/01/2019,www.cauaeisabellycasanoturname.com.br,tesouraria@cauaeisabellycasanoturname.com.br,72329-213,Quadra QR 433 Conjunto 9-B,623,Samambaia Norte (Samambaia),Brasília,DF,(61) 2808-5446,(61) 98328-5645,Cauã e Isabelly
Marcos Vinicius e Márcia Pizzaria Ltda,66960865000108,0787335200109,04/04/2019,www.marcosviniciusemarciapizzarialtda.com.br,posvenda@marcosviniciusemarciapizzarialtda.com.br,71725-501,Quadra QR 5 Conjunto A,716,Candangolândia,Brasília,DF,(61) 3768-2014,(61) 99643-9550,Marcos Pizzaria
Anderson e Leonardo Gráfica ME,83310682000166,0747607700115,04/07/2019,www.andersoneleonardograficame.com.br,financeiro@andersoneleonardograficame.com.br,70680-412,Quadra QMSW 4 Lote 4,675,Setor Sudoeste,Brasília,DF,(61) 3724-7641,(61) 98870-6195,Anderson Gráfica
Alexandre e Leandro Casa Noturna Ltda,90494455000101,67123743,05/06/2019,www.alexandreeleandrocasanoturnaltda.com.br,fabricacao@alexandreeleandrocasanoturnaltda.com.br,21042-550,Beco da Mocidade,606,Bonsucesso,Rio de Janeiro,RJ,(21) 3826-8607,(21) 98100-1608,Alexandre e Leandro Casa
Manoel e Fernanda Consultoria Financeira ME,07865728000125,85618695,20/12/2019,www.manoelefernandaconsultoriafinanceirame.com.br,vendas@manoelefernandaconsultoriafinanceirame.com.br,26032-661,Rua Geni Saraiva,819,Floresta,Nova Iguaçu,RJ,(21) 3553-0165,(21) 99161-2270,Manoel Financeira
Oliver e Gabrielly Financeira Ltda,09714074000164,68387370,02/08/2019,www.oliveregabriellyfinanceiraltda.com.br,marketing@oliveregabriellyfinanceiraltda.com.br,21060-230,Rua Roberto Silva,167,Ramos,Rio de Janeiro,RJ,(21) 3700-5158,(21) 98379-5860,Oliver e Gabrielly
Rafaela e Tatiane Filmagens ME,41616236000134,0720107200111,19/01/2019,www.rafaelaetatianefilmagensme.com.br,fabricacao@rafaelaetatianefilmagensme.com.br,73368-166,Quadra 4B Conjunto B,169,Arapoanga (Planaltina),Brasília,DF,(61) 2922-9404,(61) 99721-3078,Rafaela e Tatiane
Arthur e Caleb Telecom Ltda,76739173000198,202673120,27/05/2019,www.arthurecalebtelecomltda.com.br,estoque@arthurecalebtelecomltda.com.br,74948-730,Rua Cabo Frio,947,Jardim Himalaia,Aparecida de Goiânia,GO,(62) 2874-3943,(62) 98963-6299,Arthur e Caleb Telecom
Maya e Leonardo Fotografias Ltda,26456800000105,0790615700144,25/09/2019,www.mayaeleonardofotografiasltda.com.br,seguranca@mayaeleonardofotografiasltda.com.br,71539-715,Condomínio Privê II Quadra 4 Conjunto C,970,Setor de Mansões do Lago Norte,Brasília,DF,(61) 2589-8133,(61) 99753-6399,Maya e Leonardo
Tatiane e Miguel Filmagens ME,14795398000104,38437429,06/04/2019,www.tatianeemiguelfilmagensme.com.br,producao@tatianeemiguelfilmagensme.com.br,24348-190,Loteamento Jardim Beira-Mar,445,Itacoatiara,Niterói,RJ,(21) 2707-9405,(21) 98380-2656,Tatiane Filmagens
Rodrigo e Otávio Adega Ltda,14489352000167,208867686,08/10/2019,www.rodrigoeotavioadegaltda.com.br,comunicacoes@rodrigoeotavioadegaltda.com.br,74884-230,Rua PLC 2,116,Park Lozandes,Goiânia,GO,(62) 2622-9465,(62) 98405-8405,Rodrigo e Otávio Adega
Gabriel e Mirella Telecom Ltda,65222827000195,158307810,20/01/2019,www.gabrielemirellatelecomltda.com.br,representantes@gabrielemirellatelecomltda.com.br,72926-618,Quadra Quadra 12,673,Mansões Savana,Águas Lindas de Goiás,GO,(61) 3511-4333,(61) 98524-0299,Gabriel e Mirella
Iago e Clarice Gráfica Ltda,48912739000104,200271350,15/08/2019,www.iagoeclaricegraficaltda.com.br,presidencia@iagoeclaricegraficaltda.com.br,75133-130,Rua 10,959,São João,Anápolis,GO,(62) 2516-7221,(62) 98697-5153,Iago e Clarice Gráfica
Giovanna e Enzo Marketing Ltda,63877439000117,92963403,21/03/2019,www.giovannaeenzomarketingltda.com.br,suporte@giovannaeenzomarketingltda.com.br,27945-090,Rua Maurício de Nassau,901,Jardim Santo Antônio,Macaé,RJ,(22) 3726-5178,(22) 99376-5371,Giovanna Marketing
Márcio e Elias Filmagens ME,20679327000149,41699507,26/06/2019,www.marcioeeliasfilmagensme.com.br,sac@marcioeeliasfilmagensme.com.br,23591-580,Beco Itamorim,957,Curral Falso,Rio de Janeiro,RJ,(21) 2932-2888,(21) 99623-8276,Márcio e Elias
Márcio e Bernardo Lavanderia ME,23805918000103,85198513,13/11/2019,www.marcioebernardolavanderiame.com.br,ti@marcioebernardolavanderiame.com.br,23891-765,Rua Vinte e Cinco,948,Jardim Maracanã,Seropédica,RJ,(21) 2620-4055,(21) 99239-2316,Márcio e Bernardo
Ian e Ayla Vidros Ltda,89848604000104,157935868,06/05/2019,www.ianeaylavidrosltda.com.br,representantes@ianeaylavidrosltda.com.br,74919-785,Rua 6,488,Residencial Cândido Queiroz,Aparecida de Goiânia,GO,(62) 2621-3003,(62) 98565-7399,Ian e Ayla Vidros
Nathan e Lorena Consultoria Financeira Ltda,35435858000163,150072686,09/01/2019,www.nathanelorenaconsultoriafinanceiraltda.com.br,ti@nathanelorenaconsultoriafinanceiraltda.com.br,75703-720,Rua São Camilo,745,Loteamento Vila Cruzeiro II,Catalão,GO,(64) 2641-6289,(64) 98998-0422,Nathan e Lorena Consultoria
Anderson e Luan Transportes ME,82726639000113,0737188800194,04/12/2019,www.andersoneluantransportesme.com.br,tesouraria@andersoneluantransportesme.com.br,71693-129,Rua 26,814,Vila Nova (São Sebastião),Brasília,DF,(61) 2566-2420,(61) 99904-9850,Anderson e Luan Transportes
Alessandra e Ayla Lavanderia Ltda,94910957000119,0743818900197,20/05/2019,www.alessandraeaylalavanderialtda.com.br,atendimento@alessandraeaylalavanderialtda.com.br,71936-500,Rua Manacá,376,Sul (Águas Claras),Brasília,DF,(61) 3537-2709,(61) 98746-2406,Alessandra e Ayla
Eduardo e Emanuelly Entulhos ME,96495755000183,105061271,21/09/2019,www.eduardoeemanuellyentulhosme.com.br,auditoria@eduardoeemanuellyentulhosme.com.br,74926-180,Rua W 83,649,Jardim Colorado,Aparecida de Goiânia,GO,(62) 2568-2705,(62) 98685-1953,Eduardo e Emanuelly
Josefa e Lorenzo Advocacia Ltda,15510967000190,0706626000118,06/09/2019,www.josefaelorenzoadvocacialtda.com.br,treinamento@josefaelorenzoadvocacialtda.com.br,73340-632,Quadra EQ 7 Área Especial 2,500,Jardim Roriz (Planaltina),Brasília,DF,(61) 3786-2124,(61) 99645-5816,Josefa e Lorenzo
Severino e Rita Fotografias Ltda,86403139000100,0780804600182,14/01/2019,www.severinoeritafotografiasltda.com.br,producao@severinoeritafotografiasltda.com.br,72155-802,Quadra QNL 8 Conjunto B,481,Taguatinga Norte (Taguatinga),Brasília,DF,(61) 2860-3264,(61) 99341-9187,Severino e Rita Fotografias
Luan e Sophie Corretores Associados ME,46023671000179,92868729,09/07/2019,www.luanesophiecorretoresassociadosme.com.br,cobranca@luanesophiecorretoresassociadosme.com.br,20299-910,Avenida Presidente Vargas 3131,804,Cidade Nova,Rio de Janeiro,RJ,(21) 2819-8173,(21) 99649-4595,Luan Associados
Alana e Yasmin Contábil ME,29749459000174,118617435,23/10/2019,www.alanaeyasmincontabilme.com.br,presidencia@alanaeyasmincontabilme.com.br,75528-168,Rua Maria Madalena Silva,923,Olinta Soares Guimarães,Itumbiara,GO,(62) 3505-9652,(62) 98321-5924,Alana e Yasmin Contábil
Sandra e Fátima Contábil ME,62716532000187,00916633,03/09/2019,www.sandraefatimacontabilme.com.br,ti@sandraefatimacontabilme.com.br,26276-580,Rua Eugênio Ferreira,515,Jardim Belo Horizonte,Nova Iguaçu,RJ,(21) 3866-1864,(21) 98142-2726,Sandra e Fátima Contábil
Matheus e Andreia Pizzaria ME,39221497000103,155034731,10/04/2019,www.matheuseandreiapizzariame.com.br,producao@matheuseandreiapizzariame.com.br,74767-012,Travessa Xingu,334,Jardim Conquista,Goiânia,GO,(62) 2705-2935,(62) 99832-0144,Matheus Pizzaria
Fernando e Igor Fotografias ME,00619019000110,0795260000109,27/10/2019,www.fernandoeigorfotografiasme.com.br,contato@fernandoeigorfotografiasme.com.br,73403-403,Módulo Módulo 19 Conjunto A,714,Condomínio Mestre D'Armas (Planaltina),Brasília,DF,(61) 3540-1350,(61) 99848-1701,Fernando e Igor Fotografias
Caio e Patrícia Pizzaria Delivery ME,73763337000124,0772501100140,02/07/2019,www.caioepatriciapizzariadeliveryme.com.br,orcamento@caioepatriciapizzariadeliveryme.com.br,72331-404,Quadra QR 609 Conjunto 4,556,Samambaia Norte (Samambaia),Brasília,DF,(61) 3616-0902,(61) 98226-9680,Caio e Patrícia
Aline e Hadassa Padaria ME,67129833000128,0733680400177,13/08/2019,www.alineehadassapadariame.com.br,financeiro@alineehadassapadariame.com.br,71692-416,Quadra Quadra 201 Conjunto 6,512,Setor Residencial Oeste (São Sebastião),Brasília,DF,(61) 2890-0875,(61) 98220-7041,Aline e Hadassa Padaria
Marcelo e Igor Telas Ltda,73763507000170,0797630400153,25/01/2019,www.marceloeigortelasltda.com.br,diretoria@marceloeigortelasltda.com.br,72003-075,Rua Rua 10 Chácara 178,201,Vila São José (Vicente Pires),Brasília,DF,(61) 3578-8436,(61) 98300-7959,Marcelo e Igor Telas
Regina e Ruan Limpeza Ltda,45124368000108,0702054200106,25/09/2019,www.reginaeruanlimpezaltda.com.br,contato@reginaeruanlimpezaltda.com.br,73080-195,Quadra QMS 51A Bloco E,504,Setor de Mansões de Sobradinho,Brasília,DF,(61) 2624-0891,(61) 99491-6609,Regina Limpeza
Manuela e Joana Pizzaria ME,50236425000172,0738218700123,09/02/2019,www.manuelaejoanapizzariame.com.br,sistema@manuelaejoanapizzariame.com.br,72319-546,Quadra QN 403 Conjunto F,498,Samambaia Norte (Samambaia),Brasília,DF,(61) 3632-9614,(61) 99730-8449,Manuela Pizzaria
